cWed Feb  5 09:51:21 2020 [pid 2] CONNECT: Client "192.168.81.235"
Wed Feb  5 10:38:26 2020 [pid 3] [crio-user] OK DOWNLOAD: Client "192.168.8.240", "/home/crio-user/workspace/ftp_client/upload.txt", 40 bytes, 0.98Kbyte/sec
Wed Feb  5 10:38:26 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Transfer complete."
Wed Feb  5 10:38:41 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE A"
Wed Feb  5 10:38:41 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to ASCII mode."
Wed Feb  5 10:38:41 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,156,5"
Wed Feb  5 10:38:41 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:38:42 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:38:42 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:38:42 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:41:10 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,229,87"
Wed Feb  5 10:41:10 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:41:10 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:41:10 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:41:10 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:42:19 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PWD"
Wed Feb  5 10:42:19 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "257 "/home/crio-user/workspace/ftp_client" is the current directory"
Wed Feb  5 10:42:22 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,150,41"
Wed Feb  5 10:42:22 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:42:22 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:42:22 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:42:22 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
